Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
13/12/2024 23:00:00,14/12/2024,"Temperature, Forecast, D-1",4.4807,13/12/2024 23:30:00,
12/12/2024 23:00:00,13/12/2024,"Temperature, Forecast, D-1",4.67329,12/12/2024 23:30:00,
11/12/2024 23:00:00,12/12/2024,"Temperature, Forecast, D-1",4.85902,11/12/2024 23:30:00,
10/12/2024 23:00:00,11/12/2024,"Temperature, Forecast, D-1",4.45985,10/12/2024 23:30:00,
09/12/2024 23:00:00,10/12/2024,"Temperature, Forecast, D-1",4.53376,09/12/2024 23:30:00,
08/12/2024 23:00:00,09/12/2024,"Temperature, Forecast, D-1",4.83608,08/12/2024 23:30:00,
07/12/2024 23:00:00,08/12/2024,"Temperature, Forecast, D-1",4.61787,07/12/2024 23:30:00,
06/12/2024 23:00:00,07/12/2024,"Temperature, Forecast, D-1",4.05432,06/12/2024 23:30:00,
05/12/2024 23:00:00,06/12/2024,"Temperature, Forecast, D-1",6.01964,05/12/2024 23:30:00,
04/12/2024 23:00:00,05/12/2024,"Temperature, Forecast, D-1",6.68941,04/12/2024 23:30:00,
03/12/2024 23:00:00,04/12/2024,"Temperature, Forecast, D-1",5.43128,03/12/2024 23:49:01,L
02/12/2024 23:00:00,03/12/2024,"Temperature, Forecast, D-1",5.44932,02/12/2024 23:30:00,
01/12/2024 23:00:00,02/12/2024,"Temperature, Forecast, D-1",6.58344,01/12/2024 23:30:00,
30/11/2024 23:00:00,01/12/2024,"Temperature, Forecast, D-1",8.38491,30/11/2024 23:30:00,
29/11/2024 23:00:00,30/11/2024,"Temperature, Forecast, D-1",7.59553,29/11/2024 23:30:00,
28/11/2024 23:00:00,29/11/2024,"Temperature, Forecast, D-1",4.98132,28/11/2024 23:30:00,
27/11/2024 23:00:00,28/11/2024,"Temperature, Forecast, D-1",3.84718,27/11/2024 23:30:00,
26/11/2024 23:00:00,27/11/2024,"Temperature, Forecast, D-1",4.89618,26/11/2024 23:30:00,
25/11/2024 23:00:00,26/11/2024,"Temperature, Forecast, D-1",6.24905,25/11/2024 23:30:00,
24/11/2024 23:00:00,25/11/2024,"Temperature, Forecast, D-1",7.11374,24/11/2024 23:30:00,
23/11/2024 23:00:00,24/11/2024,"Temperature, Forecast, D-1",7.59096,23/11/2024 23:30:00,
22/11/2024 23:00:00,23/11/2024,"Temperature, Forecast, D-1",4.82877,22/11/2024 23:30:00,
21/11/2024 23:00:00,22/11/2024,"Temperature, Forecast, D-1",2.26303,21/11/2024 23:30:00,
20/11/2024 23:00:00,21/11/2024,"Temperature, Forecast, D-1",1.56989,20/11/2024 23:30:00,
19/11/2024 23:00:00,20/11/2024,"Temperature, Forecast, D-1",2.4969,19/11/2024 23:30:00,
18/11/2024 23:00:00,19/11/2024,"Temperature, Forecast, D-1",3.52048,18/11/2024 23:30:00,
